sentence,label
最近在安邦长青树中看到什么豁免，这个是什么意思？,0
HUTS中有没有适合帆船比赛的保险，我男朋友这周就要开始了,0
计划端午节和男朋友自驾去九*山，买保险三天要多少钱？,0
端午我们准备要举行赛龙舟，说是要份保险，什么好,0
老婆买了安*长*树，她在网上投保的，以后缴费怎么办,0
听说huts可以申请医疗垫付的，什么情况下可以批呢？,0
和团队去北极探险，有没有针对这方面的HUTS保险呢,0
去欧*出差，随身的物品比较多，有没有保障这个的保险,0
老公喜欢抽烟，但是听说这样就投不了安*长青树了，是真的吗，什么意思？,0
这个周末天气不错，看着心情舒坦，准备和朋友户外拓展，什么保险好,0
老婆已经买了其他的重疾险，还要投康惠保，能行吗,0
我和老婆单位都买了社保，现在她又要买什么哆啦A保，有必要吗,0
小*买了份哆啦A保，说是没有纸质保单，怎么回事,0
huts保险中有没有关于赛事的？怎么好多保险户外赛事都不保障,0
我空闲时间不多，老婆带着儿子两个人去周边玩一天，有什么保险呢?,0
这个周末儿子有场拳击比赛，很担心安全，什么保险好,0
我女朋友比较马虎，她这次一个人去美*玩，想给买份保险,0
为什么要选择职业，我儿子还在上中学，怎么填安邦长青树的职业？,0
哆啦A保对年龄有没有限制，10岁的小女孩可以买吗,0
是不是我在犹豫期退保了安邦长青树，就不给我保障了？,0
想问下，如果重疾理赔后身故，哆啦A保还有身故赔偿金吗,0
重疾险的缴费期限有什么用处，康惠保的缴费期限好不好,0
怎么儿子去留学前三个月没有医疗保障，怎么办？,0
"谁知道,在海外务工,有什么保险可以保障?",0
去年下半年大叔买了哆啦A保，现在原位癌住院了，能不能理赔？,0
当前有没有可以针对第一现场救助的旅游保险呢,0
为什么我投保的弘康哆啦A保没有发票呢？,0
康惠保是选择终身的好还是到70岁保障期好，为什么？,0
康惠保在北*买的，现在人在山*，出险了是否可以理赔？,0
出国玩比较担心护照等随身物品安全，什么保险可以投？,0
投了安*长*树几个月后，发现得了脑膜炎，这个可以报销吗,0
什么是小额快赔，在huts保险中看到的,0
想要去欧*游玩，不晓得什么样的保险比较合适,0
安*长*树对各个地区可以投保的最高保额有限制吗？,0
本周公司团建，去户外玩，huts保险有什么比较好,0
哆啦A保享有多次赔付，但患重疾理赔后，轻症和身故责任还有吗？,0
和老婆去德*旅游，办签证要买保险，什么比较好？,0
姐姐投了安*长*树，为啥只有电子保单？,0
女儿去欧*留学，刚开始几个月医保卡没有下来，什么保险可以补充？,0
我女朋友是个导游，比较担心安全，请问什么领队责任险可以考虑？,0
请问下，安*长青树有没有等待期，长不长？,0
去韩*游玩，有什么HUTS保险比较可靠,0
打算周末和老公带儿子来场亲子游，有什么HUTS保险比较可靠？,0
消费型重疾险适合哪些人群,0
下周儿子会有场小学生足球比赛，比较担心安全，可以买什么保险？,0
儿子计划去美*游学三个月，其他都准备好了，现在想找款合适的保险,0
请问huts可以承保30人的野外跑步赛事吗？,0
请问下康惠保的缴费年限有哪些？,0
因为工作原因，乘坐飞机比较多，有哪些HUTS保险产品是适合坐飞机投保的?,0
最近看到HUTS的小额快赔，有什么好处呢？,0
爱好喝点小酒，可以投长青树吗,0
老板安排我去美*出差一个月，什么保险比较安全,0
请问下什么是轻症，为什么原位癌却按照安邦长青树的轻症理赔？,0
最近俱乐部有个羽毛球比赛，给参赛者选择什么huts保险好？,0
请问下攀岩徒步等户外运动，买什么保险较好？,0
有谁知道康惠保申请得严不严格？,0
刚投保的康*保，说还在等待期，什么意思,0
我是个导游，近期带队很频繁，有什么保险可以投的？,0
请问下HUTS旅游险和一般的旅游保险有什么不一样的？,0
这个周末去周边玩，只有一天的时间，要不要买保险的,0
"请问下哆啦A保重疾险,买多久的比较好?",0
出发前投了huts保险，如果迷路了怎么办呢？,0
哆啦A保的犹豫期是多久，我退会不会扣钱的？,0
"买哆啦A保,之前还要去做个体检吗?",0
我老公比较忙，我可以为他投康惠保吗,0
谁晓得安邦长青树的保险单怎么拿到？,0
"准备端午去日*玩玩,买了机票什么旅游险好",0
在网上买了哆啦A保，保单在哪儿啊？,0
最近在看重疾险，看到哆啦A保说什么智能核保，什么意思？,0
今年28岁，投保哆啦A保多久比较好？,0
中*人民健康保险中途退保可以全额退款吗,0
陪老婆去巴*玩，有什么合适的旅游险比较好的？,0
准备这个星期去攀岩，有教练陪同再有保险可行？,0
我老公特别喜欢喝酒，担心他身体健康，能买什么重疾险？,0
去东*亚游玩几天时间，有什么huts保险比较好的？,0
青*6日游，除了必备品的准备外，保险需要购买哪些,0
我大舅抽烟，可以买安邦长青树吗？,0
决定端午去西*自驾游，除了装备之外要什么保险,0
得过胰腺炎是不是不能买重疾险,0
天热了，很想去潜水，除了装备、教练以及费用外还要什么保险？,0
华夏保险交了一年的钱能退保吗,0
现在市面上哪种重疾险比较好,0
安邦人寿保险保单查询参加保险后想退保可以吗？,0
请问下，百年康惠保在投保的时候要注意什么？,0
想知道，我搬家了会影响到哆啦A保的赔偿等问题吗？,0
安*长*树*保*不*扣保费？,0
计划去欧*探亲，有没有适合的保险介绍下,0
有谁知道，HUTS保险产品应该怎么购买才不亏呢？,0
我能替我上小学的儿子以及丈夫买安邦长青树吗,0
HUTS保险中说的第一现场救援，是什么意思？,0
计划端午准备去新*兰探亲，买什么保险比较好？,0
安*长青树陪不赔偿良性肿瘤呢？,0
慧择说保险百年人寿定制的康惠保重疾险究竟怎么样,0
已经投保了HUTS保险，如果出险怎么报案呢？,0
这个五一趁着天气好，准备和兄弟一起登山，买什么保险好？,0
一直计划去北*玩玩，但是不知道买什么保险好？,0
我签的安*长*树还在犹豫期，能退保吗？,0
huts旅游保险和一般的旅游险有什么不同？,0
想知道，是不是投保康惠保没有出险很亏？,0
我是个导游，最近看到HUTS的领队责任险，这个好不好？,0
请问下，康惠保主要保障什么？,0
出门旅游安全最重要，如何选择旅游险最划算,0
谁能说说康惠保怎么样，朋友推荐能投保吗？,0
想知道，HUTS保险的7*24小时服务随时在线怎么申请的？,0
准备去速降，教练买了众行天下，说还管紧急救援，是真的吗？,0
"听说了HUTS的北斗无人区卫星定位,请问什么意思",0
请问下安邦长青树的犹豫期究竟是多长呢？,0
想知道，康惠保对投保者的职业有没有限制呢,0
请问下，什么是HUTS的小额快赔服务？,0
人在国外旅游，买了HUTS保险请问什么条件可以申请紧急救援,0
请问一下，康惠保保险对职业有没有限制？,0
看到安*长*树感觉很适合自己，但是自己只有建行卡，可以支付吗？,0
打算这个五一带女朋友自驾云*玩，什么保险合适？,0
打算和女朋友进行一周的观光旅行，买什么HUTS保险好？,0
本周会参加一个野外赛跑比赛，买什么HUTS保险比较合适？,0
"想知道,哆啦A保在医院上有什么要求,有没有指定的?",0
最近看到HUTS的众行天下-自行车运动保险，可不可靠？,0
想知道，太*山穿越线路有哪些，有没什么保险专门保障的,0
打算入手安邦长青树，但是怎么付款，每次都得去保险公司吗,0
打算周末和老公儿子去迪士尼，什么保险适合我们的？,0
HUTS保险野外搜救医疗上怎么处置？,0
听说了huts一日游只要1元钱，真的吗,0
我女儿上初中并没有身份证，可以买安邦长青树吗？,0
有谁知道，慧择旅游HUTS保险中的一日游保障足不足？,0
本周末公司会组织一次大型户外拓展活动，200人什么HUTS保险合适？,0
什么情况下可以申请HUTS保险的境外旅行紧急援助服务？,0
"现在天气比较好,这周末开始和小伙伴去青*旅游,有没有合适的保险?",0
请问下，huts的小额快赔服务是什么意思？,0
儿子这学期就去纽*留学，请问买什么保险好？,0
什么情况下可以申请HUTS的医疗垫付？,0
工作很忙，但是想要买康惠保，需要提前体检吗,0
最近看到一款新的重疾险，安*长青树保障范围怎么样,0
准备去日*玩一周，买什么旅游险比较好？,0
去北美商务留学，请问有没有相关的HUTS保险？,0
康惠保只能保障到70岁吗,0
请问下huts安达天下-慧择旅游保险有哪些保障呢,0
买了huts保险，就医后无法自行回到居住地怎么办？,0
和女友准备野外露营几天，哪种好HUTS保险比较好？,0
已经投了HUTS保险，但是遭遇紧急情况同行未成年子女怎么办,0
我老公是石油开采工程技术人员，买安*长*树*险*不*被拒绝?,0
有谁能说下，康惠保的基本保障责任？,0
安*长*树买的时候要选职业，可我儿子未成年，怎么办,0
哆啦A保的理赔金额超过支付限额怎么办？,0
想了解下，安邦的长青树理赔难不难,0
请问下，是不是康惠保保险合同签订之后，就无法修改了,0
有没有人晓得康惠保出现报案的话，要提供什么线索呢,0
请问下安邦长青树的理赔超过直付限额怎么办,0
准备周末和孩子一起参加户外亲自活动，买什么保险比较好,0
下周我会参加帆船比赛，请问什么保险比较可靠点,0
康惠保的保额最高额和最低是多少呢？,0
请问有哪位知道安*长青树赔偿款多长时间能到账,0
国内旅游，有没有领队责任险,0
有谁知道康惠保是哪种类型重疾,0
打算过阵子陪儿子去上海迪士尼玩，有合适的保险吗,0
"想了解下,HUTS保险在旅游方面包括哪些类别？",0
huts保险境外需紧急就医而周边没有医疗机构怎么办？,0
投了huts保险，就医后无法正常走动但要回国怎么办？,0
请问huts保险，境外需要及时了解护照，签证等信息怎么办？,0
如何申请huts保险中的7*24小时便捷服务,0
百年的康惠保重疾险购买人群限制在成人吗？,0
长青树保险的轻症给付可以累计几次呢,0
请问下安邦长青树中的绿通服务是什么意思？不懂,0
请问下huts保险中的7*24小时便捷服务是什么意思,0
安邦的重疾险长青树付款方式必须要现金吗,0
老妈买了康惠保，但是只要电子保单，这是真的吗,0
慧择的HUTS保险覆盖的范围多大？,0
是不是康惠保不能给自己的闺蜜投？,0
请问下huts慧游游-慧择旅游保险是怎么理赔的？,0
安*长青树理赔材料审核要多久呀,0
huts保险可以保障哪些旅游呢？,0
"HUTS中的众行天下可以有哪些保障,意外伤害有赔偿吗?",0
请问系huts保险中的小额快赔是什么意思？,0
在投保哆啦A保的时候，需要明确哪些内容呢？,0
huts保险在国内有哪些专属的搜救路线呢？,0
请问下最近经常听过的康惠保保障的内容是什么,0
想知道哆啦A保的轻症可以赔付几次？,0
已经购买了huts保险，请问什么情况下可以申请全球救援,0
安*长*树的销售范围是什么？,0
有了huts保险救援之后，同行的未成年子女怎么办,0
"请问下在外面旅游受伤治疗了,投了huts保险怎么回家",0
想知道户外旅行遭遇紧急情况，亲属不在身边怎么办？,0
工人是不是不能够买康惠保的？,0
HUTS保险专属线路搜救，野外搜救怎么进行？,0
huts保险中有没有户外登山的保险呢,0
想要保额高点，保障疾病种类全点的重疾险产品。,0
请问已经投保HUTS保险，同行未成年儿子无人照料怎么办？,0
huts保险中有一日游的产品吗？哪个好点？,0
想请问下白血病在不在安邦长青树的保障范围内,0
请问有谁知道境外出游可以投保HUTS保险吗？,0
请问huts保险中有什么保险用来留学的呢?,0
想知道，huts保险遇到伤员是如何转运的？,0
同事给投的HUTS保险，需要救援的事故是怎么定的？,0
请问下HUTS保险在伤员转运方面是怎么做的？,0
慧择的huts保险有除了紧急救援之外，有没有其他特点？,0
哥们买的huts保险，说野外可以救助，是怎么救助的？,0
百年康惠保保险在等待期有什么保障责任？,0
HUTS保险在野外提供什么救助？,0
想知道，huts保险是有专门的救援队伍吗？,0
打算利用假期进行环海南岛骑行，有相关保险推荐吗？,0
请问下买的huts保险，在什么情况下会展开救援？,0
户外探险前买了huts保险，迷路了可以申请救援吗,0
我女儿未成年能投保哆啦A保吗,0
想请问下，安*长*树的受益人是固定的吗？,0
请问下，一般重疾险里面会有哪些轻症也是可以保障的？,0
huts保险如何进行野外搜救的?,0
打算给老公投保一份重疾险，请问买什么好,0
打算进行半年的境外游玩，huts保险中有合适的介绍吗,0
在国外陌生的地方，huts提供出行方面的指导吗？,0
"半年前生病已经有了安*长*树的理赔,以后还能赔吗",0
请问下，朋友说的huts旅游保险可靠不？贵不贵,0
想知道康惠保对投保人的职业有没有限制？我是个老师,0
家里有社保，还可不可以买康惠保保险？,0
"想请问下,HUTS保险是哪家公司的,怎么样",0
周末和老公自驾游，可以投huts的什么保险？,0
安*长青树重疾险是不是只有大人可以买，我女儿10岁可以投吗,0
慧择huts保险对户外运动方面保不保呢,0
不晓得慧择huts保险里面有没有费用垫付的？不够钱怎么办,0
我女儿10岁可以投保康惠保吗？,0
请问，我合肥的朋友买了康惠保，我在北*，也可以买吗,0
HUTS保险在国外管不管用，有什么特色的地方,0
想请问下公司组织团体活动，可以申请huts保险救援吗？,0
请问下慧择的哪些产品有HUTS保险服务,0
请问下当前市场上有没有比较好的重疾险，麻烦介绍几种适合30岁的,0
想请问下，我爸爸40多了，有没有保终身的重疾险？,0
huts保险救援和一般的救援想比，有什么区别或者优势？,0
有没有比较好的消费型重疾险介绍,0
请问，之前买过保险退保了，现在还可以买重疾险吗,0
想知道，慧择的huts保险对出国留学有保障吗？,0
